% Aj l ls  F  D Om Me Ve Te Ma Ju Sa Ur Ne Pa    Periode      ReREN      ImREN      ReMHB      ImMHB      ReCOR      ImCOR      ReADD      ImADD     ReRET     ImRET
% Tom Herring                                                   mas               ------ IAU 2000 --
  U  0  0  0  0  1  0  0  0  0  0  0  0  0  0   -6798.38  8050.8660    -0.0745  8024.7748    -1.4329     0.0083     0.0070    -0.0002     0.0000    -0.915     0.966
  U  0  0  0  0 -1  0  0  0  0  0  0  0  0  0    6798.38  1177.0440    -0.0776  1180.4583     0.1048    -0.0071    -0.0070    -0.0007     0.0009     0.116    -0.123
  U  0  0  0  0  2  0  0  0  0  0  0  0  0  0   -3399.19   -86.7420    -0.0028   -86.1351     0.0284    -0.0022     0.0000     0.0001    -0.0001     0.000     0.000
  U  0  0  0  0 -2  0  0  0  0  0  0  0  0  0    3399.19    -3.5949     0.0004    -3.6141    -0.0007    -0.0002     0.0000     0.0000     0.0000     0.000     0.000
  U  2  0 -2  0 -2  0  0  0  0  0  0  0  0  0   -1615.75     0.0046     0.0000     0.0045     0.0000     0.0000     0.0000     0.0000     0.0000     0.000     0.000
  U -2  0  2  0  2  0  0  0  0  0  0  0  0  0    1615.75     0.1255     0.0000     0.1266     0.0001     0.0000     0.0000     0.0000     0.0000     0.000     0.000
  U  2  0 -2  0 -1  0  0  0  0  0  0  0  0  0   -1305.48    -0.3063     0.0000    -0.2990     0.0004     0.0000     0.0000     0.0000     0.0000     0.000     0.000
  U -2  0  2  0  1  0  0  0  0  0  0  0  0  0    1305.48    -2.0994     0.0000    -2.1246    -0.0016     0.0000     0.0000     0.0000     0.0000     0.000     0.000
  U  2  0 -2  0  0  0  0  0  0  0  0  0  0  0   -1095.18    -0.2210     0.0000    -0.2141     0.0004     0.0000     0.0000     0.0000     0.0000     0.000     0.000
  U -2  0  2  0  0  0  0  0  0  0  0  0  0  0    1095.18     0.2214     0.0000     0.2245     0.0002     0.0000     0.0000     0.0000     0.0000     0.000     0.000
  U  0 -1  0  0 -1  0  0  0  0  0  0  0  0  0    -386.00     0.0999     0.0000     0.1481    -0.0038     0.0000     0.0000    -0.0007     0.0009     0.000     0.000
  U  0  1  0  0  1  0  0  0  0  0  0  0  0  0     386.00     0.6894     0.0000     0.7070     0.0007     0.0000     0.0000     0.0000     0.0000     0.000     0.000
  U  0 -1  0  0  0  0  0  0  0  0  0  0  0  0    -365.26    24.8938     0.0000    33.0470    -0.3312     0.0304     0.0000    -0.0866     0.1072     0.174    -0.217
  I  0  1  0  0  0  0  0  0  0  0  0  0  0  0     365.26   -25.0287     0.0000   -25.6599    -0.1388    -0.0408     0.1082     0.0006    -0.0007    -0.021     0.022
  U  0 -1  0  0  1  0  0  0  0  0  0  0  0  0    -346.64     0.4559     0.0000     0.5724    -0.0026     0.0000     0.0000    -0.0010     0.0012     0.000     0.000
  U  0  1  0  0 -1  0  0  0  0  0  0  0  0  0     346.64     0.0673     0.0000     0.0691     0.0000     0.0000     0.0000     0.0000     0.0000     0.000     0.000
  U  0  0 -2  2 -2  0  0  0  0  0  0  0  0  0    -182.62    22.5923     0.0000    24.5626     0.0430     0.0004     0.0000    -0.0064     0.0073     0.062    -0.071
